source_type,rainfall_24h_mm,temperature_C,dissolved_oxygen_mgL,chlorine_mgL,month,fecal_coliform_MPN,season,pH,turbidity_NTU,persons_with_symptoms,hardness_mgL,nitrate_mgL,TDS_mgL,risk_percent
shallow_well,4.161,22.814,9.302,0.837,10,77.724,Autumn,6.98,0.018,4,236.02,25.909,663.24,25.556
piped_protected,6.473,25.263,6.465,0.81,1,53.984,Winter,6.998,4.766,7,89.02,9.753,340.99,18.145
community_tank,3.511,19.661,6.069,0.895,2,25.06,Winter,6.904,55.658,1,113.34,1.061,321.57,63.239
rooftop_rainwater,7.235,26.861,8.65,0.482,1,30.732,Winter,7.197,32.023,5,12.1,0.046,20.33,33.912
canal,1.808,24.452,7.024,0.564,3,15.849,Summer,7.003,1.421,1,49.45,9.042,220.84,6.649
open_catchment,38.037,24.198,7.132,0.771,1,16.63,Winter,7.895,4.16,2,51.32,6.19,122.75,9.669
piped_protected,1.142,27.858,7.448,0.239,10,8.216,Autumn,7.512,13.822,4,92.59,1.202,176.67,0.17
shallow_well,26.874,23.393,9.009,0.823,5,100.066,Summer,5.695,3.987,11,175.59,23.165,513.79,40.219
rooftop_rainwater,24.485,25.776,5.449,0.018,10,3.681,Autumn,8.694,6.957,37,27.26,1.785,10.0,76.785
piped_protected,7.452,24.611,8.717,0.798,6,42.284,Monsoon,7.223,4.094,2,92.26,3.34,210.03,4.594
shallow_well,12.907,34.648,4.759,0.776,1,31.251,Winter,9.567,4.972,2,208.96,32.425,683.54,42.804
deep_borehole,5.728,26.465,5.777,0.302,1,29.243,Winter,8.26,5.841,26,156.12,4.169,339.73,41.611
deep_borehole,9.943,21.576,5.655,0.728,12,17.572,Winter,7.329,10.428,7,97.84,7.153,273.2,11.0
spring,4.164,30.257,6.788,0.214,4,24.015,Summer,8.147,21.181,10,147.91,3.694,290.83,34.246
piped_protected,3.583,28.129,5.875,0.576,4,184.639,Summer,4.754,11.195,1,96.82,3.13,181.12,54.314
deep_borehole,8.633,25.135,8.906,0.701,8,34.492,Monsoon,7.689,3.952,4,288.92,12.428,674.66,8.097
shallow_well,6.894,23.688,7.78,0.715,10,37.644,Autumn,8.147,14.926,8,74.96,11.648,328.38,20.742
spring,8.664,21.021,6.978,0.983,7,38.843,Monsoon,7.699,24.996,4,155.63,5.908,384.43,22.067
shallow_well,3.378,26.292,5.683,0.182,7,16.105,Monsoon,7.628,14.666,17,207.79,14.922,528.09,35.292
spring,4.572,22.975,9.102,0.481,9,18.35,Monsoon,7.674,22.539,10,174.73,7.305,428.93,26.827
piped_protected,0.876,22.36,7.148,0.88,8,54.094,Monsoon,7.707,8.35,32,102.4,4.636,199.54,43.084
rooftop_rainwater,0.537,27.326,6.624,0.562,12,14.065,Winter,8.775,36.141,12,16.91,0.663,10.0,49.738
community_tank,2.923,29.635,6.796,0.876,11,29.166,Autumn,8.3,13.331,2,80.98,7.374,215.12,12.365
river,0.771,23.571,6.667,0.434,11,101.667,Autumn,8.018,17.393,8,114.16,0.219,212.58,29.031
rooftop_rainwater,1.096,27.418,8.269,0.795,12,16.602,Winter,7.899,1.643,2,16.45,1.804,19.24,4.151
pond,16.763,25.637,8.696,0.87,12,28.792,Winter,10.0,13.887,20,71.24,17.407,271.6,62.934
shallow_well,0.396,26.076,5.611,0.846,12,24.404,Winter,8.012,0.411,5,139.75,4.842,228.19,3.775
pond,10.757,22.544,6.022,0.871,3,52.779,Summer,7.485,2.503,6,119.05,7.193,281.98,13.4
rooftop_rainwater,3.182,24.363,6.096,0.22,4,37.046,Summer,8.137,16.794,21,8.92,0.112,81.78,49.569
spring,20.522,21.71,7.48,0.439,8,16.383,Monsoon,6.261,15.774,4,130.63,1.167,263.42,17.628
river,6.636,21.332,8.497,0.175,5,18.992,Summer,7.024,9.6,7,63.97,3.62,112.7,22.474
river,3.647,26.555,4.94,0.181,5,17.098,Summer,7.351,15.011,16,107.31,3.972,254.38,38.356
open_catchment,7.291,23.427,5.43,0.488,8,15.804,Monsoon,8.503,23.975,1,52.68,24.834,452.59,33.292
river,4.812,22.255,6.485,0.96,8,5.872,Monsoon,8.255,25.146,4,98.64,12.078,267.83,27.827
community_tank,8.308,21.371,7.801,0.592,6,38.379,Monsoon,7.517,30.837,2,114.58,2.05,271.92,21.756
river,1.216,20.459,5.589,0.854,9,16.62,Monsoon,7.131,30.918,14,51.09,7.149,235.44,49.107
rooftop_rainwater,58.06,19.131,6.421,0.937,4,51.803,Summer,7.917,11.659,2,24.09,0.638,10.83,13.35
open_catchment,5.544,25.333,5.918,0.087,10,34.884,Autumn,5.384,6.095,32,12.61,6.917,76.15,95.412
rooftop_rainwater,4.281,17.118,8.136,0.162,1,22.117,Winter,7.239,0.004,5,19.7,1.129,145.57,32.376
rooftop_rainwater,12.386,26.414,6.836,0.291,10,20.413,Autumn,7.579,37.483,8,18.54,1.314,105.64,48.488
reservoir,4.524,26.393,5.907,0.617,2,8.851,Winter,5.501,3.078,3,126.6,4.477,239.27,22.102
canal,17.914,24.703,5.235,0.062,1,36.463,Winter,8.547,25.049,19,67.04,4.137,223.52,68.505
open_catchment,6.056,25.222,6.406,0.787,4,29.557,Summer,8.62,4.041,3,35.14,5.294,206.69,28.794
rooftop_rainwater,12.714,24.144,6.604,0.064,9,17.385,Monsoon,7.098,5.437,7,12.86,0.353,10.0,27.653
canal,1.137,25.676,8.271,0.158,11,4.752,Autumn,7.006,3.237,34,84.36,9.093,223.57,56.807
canal,18.716,25.641,8.527,0.382,6,26.191,Monsoon,8.148,20.931,7,33.13,1.407,57.29,24.012
open_catchment,13.307,28.905,5.225,0.558,6,28.182,Monsoon,7.227,8.004,8,24.45,16.227,136.45,24.479
reservoir,2.379,29.598,8.477,0.882,6,95.816,Monsoon,8.778,45.741,20,119.37,4.562,337.75,96.055
pond,1.57,29.507,8.069,0.964,1,33.299,Winter,6.545,23.23,23,76.24,12.687,308.22,63.839
spring,3.802,22.607,6.203,0.885,1,104.695,Winter,8.79,11.701,13,158.68,4.329,384.47,40.862
community_tank,37.326,27.273,8.137,0.107,3,17.291,Summer,9.981,21.397,1,135.33,9.743,407.42,54.544
spring,2.968,26.518,5.812,0.631,5,24.692,Summer,8.245,25.866,13,135.23,2.565,159.56,36.732
river,6.09,23.053,7.608,0.442,2,11.957,Winter,8.728,34.863,14,73.3,8.436,157.42,55.13
community_tank,0.305,22.341,10.638,0.126,11,24.703,Autumn,7.825,1.167,5,180.9,2.582,329.74,20.292
river,5.062,23.87,7.346,0.555,12,72.847,Winter,6.601,22.614,11,45.21,5.527,181.09,45.34
rooftop_rainwater,8.47,21.817,6.487,0.357,1,74.95,Winter,7.321,2.845,4,13.26,1.284,40.28,9.283
shallow_well,30.603,20.832,5.029,0.346,9,39.965,Monsoon,6.583,34.701,4,197.08,5.554,451.54,44.022
open_catchment,7.272,26.492,7.123,0.094,11,8.642,Autumn,7.904,2.913,5,40.52,16.225,138.16,29.876
community_tank,17.099,25.098,8.497,0.979,1,8.163,Winter,8.209,2.644,21,141.16,4.176,316.64,26.413
community_tank,7.921,25.083,5.936,0.726,11,25.109,Autumn,8.66,9.534,27,125.6,17.329,392.58,52.811
rooftop_rainwater,0.416,27.78,7.811,0.28,11,16.469,Autumn,5.812,27.255,13,22.96,1.365,10.0,56.972
pond,3.783,24.412,6.605,0.917,11,61.912,Autumn,6.451,1.285,3,68.99,12.028,160.62,16.903
canal,8.57,27.491,6.402,0.948,4,51.293,Summer,7.95,0.865,13,51.14,2.567,153.76,26.883
rooftop_rainwater,30.077,22.783,7.734,0.81,9,45.136,Monsoon,5.952,20.273,3,11.81,0.281,10.0,42.46
deep_borehole,19.599,22.764,4.16,0.659,10,18.283,Autumn,8.602,25.621,2,154.74,1.188,340.32,24.417
reservoir,2.592,25.042,6.713,0.376,2,37.125,Winter,7.857,8.547,8,89.28,8.178,333.02,14.794
canal,2.486,31.364,8.481,0.434,10,44.657,Autumn,7.109,14.591,24,48.12,4.014,199.1,50.527
open_catchment,2.246,28.856,6.723,0.455,3,22.876,Summer,8.762,1.938,5,68.97,91.7,1090.84,43.929
canal,25.575,28.294,7.011,0.949,4,25.334,Summer,8.332,12.706,11,67.57,16.07,368.88,34.298
pond,19.151,20.884,6.801,0.76,12,43.321,Winter,5.861,0.152,14,112.62,11.045,295.44,40.902
canal,14.911,25.435,9.869,0.292,2,10.993,Winter,7.099,5.032,19,67.55,18.688,326.18,32.192
open_catchment,4.988,27.463,7.577,0.625,2,18.164,Winter,7.171,0.303,1,85.89,6.086,198.4,0.706
pond,7.019,31.256,5.086,0.594,12,16.8,Winter,7.162,4.434,8,5.0,2.451,69.69,31.136
spring,6.242,19.949,5.701,0.812,6,85.255,Monsoon,8.389,0.322,23,127.65,5.34,262.35,43.494
community_tank,2.922,27.193,7.141,0.095,11,19.003,Autumn,7.77,39.546,4,52.15,8.525,264.61,56.358
community_tank,7.033,28.193,8.887,0.701,11,32.975,Autumn,6.504,30.042,1,129.09,15.761,441.33,28.986
reservoir,0.31,26.355,7.992,0.331,10,60.855,Autumn,8.073,3.224,5,85.05,3.938,277.03,12.939
river,1.413,20.949,8.489,0.13,5,15.232,Summer,8.125,34.865,13,42.47,18.162,347.11,70.335
spring,21.767,25.76,5.305,0.732,11,76.505,Autumn,8.158,31.669,38,179.35,2.369,315.48,81.573
spring,13.93,26.286,7.946,0.332,5,83.309,Summer,6.976,3.451,9,188.75,3.666,439.92,19.169
canal,5.497,25.533,5.893,0.73,9,4.177,Monsoon,6.085,15.642,27,119.18,3.297,276.42,46.699
community_tank,7.28,22.945,6.82,0.162,7,45.66,Monsoon,9.223,2.899,28,116.09,9.136,253.26,67.216
open_catchment,4.62,22.573,8.275,0.986,11,89.578,Autumn,8.369,16.03,17,61.07,5.52,194.6,43.904
piped_protected,13.501,26.368,6.147,0.803,9,21.97,Monsoon,7.986,0.921,6,103.13,4.791,293.18,10.9
piped_protected,15.333,22.971,4.84,0.289,1,54.79,Winter,7.843,27.463,14,50.27,0.597,168.3,42.879
pond,14.409,23.039,6.448,0.741,2,8.817,Winter,7.108,24.402,26,116.75,5.827,346.76,48.777
community_tank,12.823,24.581,7.182,0.136,5,6.885,Summer,7.432,2.64,20,142.96,9.88,301.96,41.478
community_tank,2.288,25.479,8.024,0.653,10,21.13,Autumn,8.162,8.116,9,109.04,5.327,285.86,14.692
reservoir,4.124,28.116,5.666,0.06,7,12.335,Monsoon,8.156,4.107,22,105.93,7.675,170.24,47.352
piped_protected,6.346,21.412,6.169,0.333,8,45.658,Monsoon,5.845,1.842,19,84.11,7.639,230.96,45.376
community_tank,4.017,21.115,7.323,0.978,7,44.218,Monsoon,6.431,0.188,2,139.4,22.481,482.47,13.952
reservoir,14.063,23.854,7.819,0.121,9,185.073,Monsoon,7.038,5.047,4,106.86,5.304,147.5,51.588
canal,3.995,19.599,7.304,0.597,11,70.77,Autumn,6.244,39.085,19,77.93,5.974,124.05,78.406
deep_borehole,1.488,26.76,6.78,0.071,3,17.823,Summer,7.259,30.672,15,191.02,6.791,458.98,53.447
shallow_well,5.092,19.019,5.891,0.669,11,33.557,Autumn,7.162,7.978,5,145.18,31.729,582.38,20.929
spring,39.078,27.122,8.331,0.279,5,39.787,Summer,6.861,4.766,8,129.12,0.713,224.97,21.328
river,2.56,28.327,8.82,0.31,12,54.13,Winter,6.164,5.148,43,56.06,6.224,175.07,79.885
pond,9.472,25.779,6.123,0.338,6,4.297,Monsoon,7.376,17.155,5,81.25,12.236,278.85,20.442
deep_borehole,5.673,19.428,6.288,0.205,10,20.538,Autumn,6.832,4.329,3,200.75,22.533,496.23,12.099
piped_protected,0.737,25.318,8.026,0.942,7,90.275,Monsoon,8.662,24.475,12,120.0,36.56,629.64,53.038
reservoir,6.692,22.61,7.251,0.906,12,47.426,Winter,7.52,6.225,2,92.25,12.295,219.13,5.762
spring,12.112,21.394,7.873,0.87,7,33.364,Monsoon,8.575,0.978,2,158.4,2.937,322.38,8.3
community_tank,7.199,26.738,7.407,0.106,4,19.25,Summer,7.693,1.817,22,111.21,5.477,406.73,45.606
river,20.566,27.301,7.57,0.233,1,28.18,Winter,8.381,20.628,22,50.73,7.308,182.93,54.094
community_tank,3.41,28.857,6.389,0.612,8,33.436,Monsoon,6.921,20.623,15,136.93,13.679,438.05,39.852
open_catchment,0.902,24.146,4.003,0.97,10,13.138,Autumn,6.619,7.086,1,43.54,5.331,138.64,11.678
open_catchment,27.577,25.516,7.29,0.605,1,41.808,Winter,8.655,75.063,3,29.27,3.868,123.19,99.127
river,4.751,29.996,8.035,0.327,12,34.391,Winter,8.929,3.466,16,125.97,15.956,452.49,40.357
reservoir,8.59,31.286,7.429,0.817,1,21.259,Winter,7.747,3.059,17,126.7,6.482,321.72,26.314
river,15.702,28.241,5.881,0.135,9,21.203,Monsoon,7.439,10.486,7,78.72,3.488,208.45,26.322
piped_protected,3.92,23.95,6.132,0.882,10,9.507,Autumn,6.593,11.345,19,52.23,4.231,118.65,29.365
river,12.594,25.022,10.686,0.975,10,96.453,Autumn,7.87,7.61,20,110.88,10.158,250.34,39.9
canal,1.455,24.465,7.528,0.968,12,52.451,Winter,4.89,12.02,17,34.69,2.02,61.68,65.529
community_tank,3.443,27.117,3.478,0.148,3,42.65,Summer,7.606,31.343,15,135.81,13.002,260.23,55.52
deep_borehole,1.563,22.541,6.139,0.55,9,54.673,Monsoon,7.45,8.76,18,218.0,7.148,507.2,24.08
rooftop_rainwater,16.672,25.964,6.674,0.585,10,2.386,Autumn,5.81,77.84,2,21.33,0.332,154.25,100.0
reservoir,2.519,25.979,5.142,0.195,11,173.234,Autumn,6.945,41.475,8,115.15,1.505,189.06,71.694
river,12.637,26.151,6.805,0.547,10,2.634,Autumn,7.006,17.126,6,101.35,4.479,196.94,19.506
pond,28.7,21.933,6.261,0.647,12,77.572,Winter,7.105,17.068,1,70.27,6.09,179.23,24.093
open_catchment,7.503,25.742,7.294,0.329,1,35.197,Winter,6.435,18.097,46,29.23,40.263,576.26,99.255
canal,7.766,30.308,6.573,0.316,7,11.315,Monsoon,11.416,27.669,8,38.45,24.806,251.38,92.418
spring,6.181,23.629,5.95,0.06,5,35.574,Summer,5.791,24.815,18,126.17,2.996,288.34,69.115
rooftop_rainwater,3.944,25.779,6.492,0.957,12,51.933,Winter,6.706,17.794,6,5.0,0.832,10.0,22.753
reservoir,6.456,19.474,8.271,0.804,12,19.534,Winter,8.085,23.694,4,126.02,7.118,355.47,22.751
deep_borehole,9.233,25.759,7.096,0.759,4,105.737,Summer,7.644,7.873,8,247.99,5.659,621.9,21.751
rooftop_rainwater,42.681,25.65,6.677,0.022,11,7.391,Autumn,7.716,9.644,2,24.61,1.63,97.64,28.542
river,27.768,25.349,7.527,0.624,12,11.335,Winter,6.312,31.538,3,73.61,25.923,498.47,45.308
piped_protected,19.816,27.191,6.998,0.181,5,9.328,Summer,6.234,1.346,1,144.01,11.299,373.27,19.695
open_catchment,21.994,24.163,5.34,0.662,1,7.959,Winter,7.231,20.938,20,43.56,7.769,159.03,45.579
open_catchment,6.308,28.529,8.03,0.621,10,37.82,Autumn,6.215,15.584,8,34.01,3.947,150.75,37.397
spring,10.713,22.351,6.063,0.852,7,158.072,Monsoon,8.432,2.252,43,190.79,2.388,298.4,83.817
piped_protected,22.544,29.33,6.486,0.255,11,74.58,Autumn,9.237,7.559,18,78.07,5.923,175.52,46.891
community_tank,4.991,25.638,4.73,0.027,12,23.735,Winter,6.992,18.238,9,58.47,29.376,349.44,53.631
shallow_well,32.639,24.785,8.233,0.914,2,127.54,Winter,7.296,18.043,8,114.41,30.171,574.84,36.536
canal,5.375,20.705,7.187,0.909,12,89.223,Winter,7.229,16.443,7,65.8,22.569,260.15,27.049
open_catchment,9.19,21.671,7.427,0.456,9,16.589,Monsoon,7.259,2.373,1,35.61,3.395,47.44,4.077
pond,12.372,26.053,8.221,0.078,5,24.008,Summer,7.257,21.043,1,94.97,6.253,214.15,30.413
open_catchment,30.076,22.85,8.234,0.498,5,42.733,Summer,5.861,1.983,7,60.34,7.182,247.13,44.161
rooftop_rainwater,2.805,27.985,5.944,0.524,3,14.891,Summer,9.322,55.419,23,13.09,1.582,115.15,100.0
open_catchment,13.709,25.862,7.018,0.822,10,12.153,Autumn,8.023,2.358,11,33.7,6.581,213.8,23.095
reservoir,7.357,20.725,6.871,0.717,2,66.691,Winter,7.514,12.589,8,101.62,7.91,241.08,17.081
open_catchment,3.127,27.283,6.729,0.071,8,84.011,Monsoon,7.747,20.904,10,27.86,22.763,184.66,68.607
shallow_well,14.988,24.513,5.793,0.705,9,11.818,Monsoon,8.589,0.104,4,129.09,4.688,224.74,16.205
shallow_well,8.035,24.863,9.138,0.136,3,46.004,Summer,7.585,17.823,5,203.33,11.876,513.11,24.707
deep_borehole,10.817,28.134,8.521,0.089,12,45.261,Winter,11.941,3.552,14,293.19,5.613,496.43,82.968
community_tank,3.899,20.817,7.665,0.399,11,10.902,Autumn,8.975,2.791,3,101.96,11.543,352.06,19.137
pond,6.564,21.626,9.035,0.077,8,44.188,Monsoon,7.808,1.08,2,61.03,18.077,253.36,27.182
open_catchment,9.606,25.977,7.712,0.829,6,53.577,Monsoon,8.705,2.971,8,49.37,0.936,25.1,24.745
open_catchment,5.19,19.904,6.545,0.463,12,56.159,Winter,6.874,13.18,14,35.14,32.569,277.58,45.719
canal,2.211,23.179,6.368,0.587,11,24.005,Autumn,7.575,98.099,4,68.98,14.344,220.74,100.0
shallow_well,32.608,27.935,7.579,0.577,9,42.68,Monsoon,8.326,11.737,6,175.13,35.734,528.08,32.504
pond,7.163,24.674,4.933,0.978,10,37.985,Autumn,7.794,12.995,8,102.69,21.492,442.05,22.544
spring,13.24,20.877,8.3,0.916,4,34.329,Summer,0.659,6.905,22,130.76,0.476,263.26,95.523
deep_borehole,5.294,25.567,4.557,0.849,3,75.885,Summer,7.838,0.536,10,204.13,1.995,334.61,17.918
community_tank,4.387,23.785,8.654,0.383,7,12.323,Monsoon,7.344,18.422,20,83.97,0.467,96.46,25.826
piped_protected,5.228,22.893,7.745,0.145,1,13.7,Winter,7.084,1.141,5,53.32,0.929,148.12,17.295
community_tank,5.263,35.669,9.926,0.592,3,11.106,Summer,7.771,17.773,9,86.7,10.226,338.54,29.674
reservoir,7.857,26.724,7.27,0.44,7,83.94,Monsoon,9.1,25.173,11,76.81,6.084,227.56,56.816
rooftop_rainwater,7.841,24.15,7.984,0.226,12,30.961,Winter,8.284,3.545,25,20.86,0.837,100.79,47.219
reservoir,6.875,27.695,8.045,0.098,7,17.071,Monsoon,10.346,20.931,17,84.63,2.758,186.11,85.15
open_catchment,1.448,24.127,5.672,0.436,9,110.524,Monsoon,5.812,34.041,2,56.73,43.947,662.46,87.959
deep_borehole,6.853,23.446,5.399,0.651,10,24.912,Autumn,8.242,11.415,12,272.4,4.009,595.29,21.89
rooftop_rainwater,1.853,25.898,5.599,0.625,9,3.902,Monsoon,8.421,7.803,1,31.71,0.164,86.94,12.126
pond,1.348,26.526,6.951,0.774,11,16.629,Autumn,7.442,11.226,51,93.04,8.657,249.66,64.909
piped_protected,26.978,27.777,6.989,0.467,11,34.477,Autumn,6.309,22.922,6,47.26,2.504,28.5,34.785
shallow_well,9.287,29.271,7.051,0.322,7,45.262,Monsoon,7.17,13.419,12,152.72,20.576,327.12,29.886
deep_borehole,10.773,28.563,7.741,0.539,11,16.117,Autumn,5.218,11.628,3,223.73,3.19,350.01,32.887
deep_borehole,5.138,27.57,5.886,0.975,3,20.612,Summer,7.681,7.282,16,211.54,14.399,512.29,21.653
reservoir,23.967,27.878,8.258,0.045,3,19.273,Summer,9.522,0.367,12,71.35,2.61,42.61,53.53
open_catchment,10.159,28.554,7.646,0.529,5,58.492,Summer,6.989,2.228,5,50.27,22.78,294.34,21.063
river,14.661,27.129,9.371,0.329,9,117.703,Monsoon,7.634,10.049,5,88.33,3.783,356.03,30.721
reservoir,4.598,20.244,7.646,0.105,1,15.163,Winter,8.738,14.532,12,74.85,4.178,167.02,47.859
deep_borehole,32.192,26.493,6.896,0.435,1,126.22,Winter,6.827,2.766,5,269.98,8.664,532.32,19.817
canal,17.174,29.131,10.221,0.641,9,37.182,Monsoon,7.474,15.916,30,62.85,20.0,314.86,50.892
piped_protected,19.238,22.592,6.874,0.528,12,26.631,Winter,7.98,10.379,4,58.29,1.498,13.7,9.635
reservoir,1.89,23.824,7.434,0.029,7,23.229,Monsoon,6.886,15.532,4,105.63,2.269,269.05,39.033
piped_protected,3.16,24.82,7.652,0.579,11,11.997,Autumn,7.257,10.488,15,134.25,1.067,257.54,13.923
canal,3.363,25.57,8.397,0.232,4,13.4,Summer,5.416,7.818,2,83.42,111.529,1113.68,49.328
spring,3.16,23.335,7.128,0.341,1,11.588,Winter,7.64,5.284,9,131.87,2.184,267.24,5.982
canal,19.338,25.172,11.151,0.312,6,10.53,Monsoon,8.378,2.543,10,69.09,10.834,233.08,13.147
canal,0.324,26.54,6.14,0.859,9,45.183,Monsoon,7.09,1.262,4,60.05,9.428,147.03,11.57
piped_protected,0.792,18.969,9.234,0.048,6,246.809,Monsoon,6.527,27.178,31,103.01,2.143,223.4,100.0
community_tank,3.201,25.224,4.806,0.348,5,14.625,Summer,4.89,10.975,6,106.97,89.709,865.96,65.947
piped_protected,2.23,23.852,5.523,0.395,1,23.239,Winter,8.53,61.501,4,160.54,2.818,274.32,70.807
river,2.638,19.879,4.666,0.619,9,81.346,Monsoon,7.698,25.999,12,74.12,2.484,109.33,40.102
open_catchment,15.992,26.693,5.612,0.789,9,11.429,Monsoon,6.583,1.739,13,37.81,16.486,245.67,36.708
